,level_0,name,business_id,id_commentaire,url,text,stars,index
0,0,Manteigaria,4jUlziXrWB4nmzWqeo7Skg,dDtKVkFFFu6xzgpxFS_5Rg,https://www.yelp.com/biz/manteigaria-lisboa-3?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=dDtKVkFFFu6xzgpxFS_5Rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"Yes - the reviews are all true. This is some of the very best pastel de nata you'll have. The place couldn't be any more straight forward than it is: 

1....",5,0.0
1,1,Manteigaria,4jUlziXrWB4nmzWqeo7Skg,_kJFLhn3lpYov4BoV9_6DA,https://www.yelp.com/biz/manteigaria-lisboa-3?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=_kJFLhn3lpYov4BoV9_6DA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"Let's be honest... any pastel de nata gets my attention; they're simply delicious! 

We were recommended this place and decided to give it a try after...",4,1.0
2,2,Manteigaria,4jUlziXrWB4nmzWqeo7Skg,vt2kbPHPddC-0mrFHNAzKA,https://www.yelp.com/biz/manteigaria-lisboa-3?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=vt2kbPHPddC-0mrFHNAzKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,Must try! !! Like you really have to try this spot out. This place comes close to the flavors of Belem pasteis. It's really close. This is where you go when...,5,2.0
3,3,Cervejaria Ramiro,9j9e8taae0HZHuLNbOILQg,HbBrhZ_Qq7SYcuno6w3tkg,https://www.yelp.com/biz/cervejaria-ramiro-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=HbBrhZ_Qq7SYcuno6w3tkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,Do yourself a favor and make a reservation by emailing the restaurant a few days before your visit. It was a quick and painless process and we got to skip...,5,3.0
4,4,Cervejaria Ramiro,9j9e8taae0HZHuLNbOILQg,Zowbc9gzcdcMSK-5qzXIWQ,https://www.yelp.com/biz/cervejaria-ramiro-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=Zowbc9gzcdcMSK-5qzXIWQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"Delicious fresh seafood! I happened to read my friend's review right before coming here, prepared to wait 2 hours for a table of 2. To my surprise, the wait...",5,4.0
5,5,Cervejaria Ramiro,9j9e8taae0HZHuLNbOILQg,kYhKm_qcciYjP5bgXaiZfQ,https://www.yelp.com/biz/cervejaria-ramiro-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=kYhKm_qcciYjP5bgXaiZfQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"A fun seafood spot! Recommended by our Airbnb host in Lisbon, we headed to this spot on our last day in Portugal. It's not located directly in the...",4,5.0
6,6,Pastéis de Belém,zz18h1-m5sGlM679s4u8XQ,mupaEgWPLpx6hwYwJnUdYQ,https://www.yelp.com/biz/past%C3%A9is-de-bel%C3%A9m-lisboa-6?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=mupaEgWPLpx6hwYwJnUdYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"Long long line but it was worth it!

We were at the monastery just 5 minutes walking distance of the Pasteis de Belem and we were slowly walking in town...",5,6.0
7,7,Pastéis de Belém,zz18h1-m5sGlM679s4u8XQ,1waXof2W8JiCuy87ttrtug,https://www.yelp.com/biz/past%C3%A9is-de-bel%C3%A9m-lisboa-6?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=1waXof2W8JiCuy87ttrtug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"This was the one spot everyone recommended to us prior to our Lisbon trip, so of course we had to check it out :) We loved the Pastéis de Belém! They sell...",5,7.0
8,8,Pastéis de Belém,zz18h1-m5sGlM679s4u8XQ,4xGO3i7OKAb-uP6ae69P3A,https://www.yelp.com/biz/past%C3%A9is-de-bel%C3%A9m-lisboa-6?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=4xGO3i7OKAb-uP6ae69P3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"This right here is the OG pasteis in Lisbon, and it's easy to see why. Every single tart is served perfectly hot, with cinnamon and sugar on the side for...",5,8.0
9,9,Sr. Lisboa,yQfP_hw1BsusTs4TYJaNMw,plXVhRqQ9AeffbXJ-ejtvw,https://www.yelp.com/biz/sr-lisboa-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=plXVhRqQ9AeffbXJ-ejtvw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"The highlight of our trip to Lisbon and it's not an exaggeration. The food, a futuristic fusion and their take on memorable classics. The service, top notch...",5,9.0
