,index,photo_id,business_id,caption,label,label_name
0,0,Un_Og6jfhazVn7CxszkKEw,R1sIqGfKpF5f3HV3vyNsbg,Drinks! Front is beer obviously. The pink one is the blackberry lemonade and the yellow one is the spicy margarita they made,0,drink
1,1,BFE1AFOs27scnnfeBf99ZA,vdT7zlrLB2DL9pStDUs91A,,0,drink
2,2,7t-C0r1JRdoVD9FS7M-N7Q,c5GzrObEdj7eNVOdAxrppg,Stella on draft,0,drink
3,3,rLnw0d-YYZvT9kR4y7h7_Q,aQa7N5ZbPhCoKYGGB-gqfg,,0,drink
4,4,Cv5M8MDw8a5NEWvw2AQ4nw,B-s6qOFD75syhwWjp518aA,,0,drink
5,5,bnJDeS7YSX7jZM6pTsss2Q,1E2KcGtzZO5v_LgrTiQl9A,,0,drink
6,6,hW-4Q4Tk8uWz6YxBhvK-7A,A4js3H3Icd45DaaqfD5dQw,Sex on the beach,0,drink
7,7,YufLd_9qqSjifuBgF6a2xQ,N0Y8MQV8_L_9-nnT3jOy8Q,,0,drink
8,8,gPOXcGNQcB2V5pAKCncxOQ,L1nn5Cge3wBUHydmX8XwWA,Weird Logo,0,drink
9,9,R0aWKXSB5V1zlDe0frSXSw,ZdGTTzkwTb2bYI5CBQsKVw,"Some of the nicest\, rice scented green tea I've ever had.",0,drink
10,10,HDENvwtY_OSbElI_TbT9LA,LjdbthVdtLYKSi7iVAFl0g,,0,drink
11,11,FG-wQgx1Qd5NI06eoWiGYg,ZN0yWM9ThxeMpFF-J2y5Uw,Cold brew nitro,0,drink
12,12,6DoR17FLWf8oEftw80E8qg,zMp86mJ_SGvQkFnKXjpXVQ,Story To Tell,0,drink
13,13,Qmn5tbV8utJeAUiRsEPt9Q,gESBiku1Vm0L9TqQ3-cdoQ,Kiwi Cooler,0,drink
14,14,RS5CqUYLc1yJe11BHOIamw,vETXmrTZScKZ256DcvU6hg,Got this jar from Milk+T grand opening,0,drink
15,15,LlbC6SK7qSydV_47sddbww,pZ2BENFmYDp3UhW7qwbiWQ,Spike kiwi watermelon lemonade,0,drink
16,16,H60MMcyGLFzWPrj-2KLikg,gxirR9FbpZXY4L3kjoGXIQ,Adam Sandler @ Daddys!,0,drink
17,17,JVnO0qUbNr5Jo56SZg_Ung,Amfc33JDbIMH7au1YGiq0w,,0,drink
18,18,FbLx1LvCMFWgN4AAzFIqmQ,rLyfhfjMMW6SwGAm2aGZAQ,Latte,0,drink
19,19,9UXd4DTUZnh5Vj_JxCXNfQ,mSwDxx41zMGprMVLvzLt9g,The full tasting,0,drink
20,20,j1DaMCfm5SmUvu-wnfB4Rw,eKaNObmotans-z9WsHG7Mg,,0,drink
21,21,Bf0oOYmZub44CZNs3pQ8JA,q3-GSmBE57kLc7IXZ_JMOA,Mini Chambord,0,drink
22,22,Bz6KbURJeP2A1_fajPE82w,2KtBlWVoKiqJZtlZb9jxmw,Tasty Mary ...full works ! Worth every penny,0,drink
23,23,2kC4_dB9ATFR1srdNDj6Ew,-DYiop6_mEPe8NSkoSCqdg,Having the BEST Old Fashioned ever!,0,drink
24,24,5Ih7Ufhd0dTkd5Ykqmk_yQ,gmIyAldUFb9e8ekRYtGsow,Old fashion.  It was wonderful,0,drink
25,25,ESP_DCIW2eWyO77fSzY6yQ,8zehGz9jnxPqXtOc7KaJxA,,0,drink
26,26,uM-5Rbpir347H5vvxZrfow,z_uwU0ZDX1ZtbjQW-7O-nA,Artichoke Chia Tea,0,drink
27,27,To_hCz1XQJ9bgz0wqwAGlw,DnbKlkhBMwMK0QbNaCMb9A,Water,0,drink
28,28,UXpEoLuAqpOtZuaahj5SJA,Rd9RfJiJkHn4yBHjlqR9Pg,The most adorable presentation.,0,drink
29,29,LIrh0yybjtV1-H898DAHwg,jFW8GmhX95XHvQZPUKJR2g,T16 Skyhopper,0,drink
30,30,Kw9H8mQfLuuZe5yguJovJQ,VImbIWfxODVsiRHebSQePw,,0,drink
31,31,Wre7MLQVlzYFk1F_xEao6Q,UXb5pTNPf31BpJ2oiDZBXQ,,0,drink
32,32,aA4hGjv8euXLACu479Q__A,cfJKxtQM3tQM9q76WJYayA,Me enjoying my piña colada,0,drink
33,33,oV41YKy2oq6YWuKAaBRVKQ,fP8YU03hNC4MfzPp8JVMYg,Greed sweet tea,0,drink
34,34,dFmJBw3LqGyopJdGNh6mnA,gQzgcNIYIEreaqpSP2A8vQ,Dos Equis lager,0,drink
35,35,0OvTmLn9pW0aeppOuGb-bg,l0jOPpSxY_D7LxZXj_xmvQ,It was obviously enjoyed :),0,drink
